query_id,query_text,doc_id,doc_text,pred_score,rank_hint,rel,notes,query_text_paraphrase
0,Write a function to find the shared elements from the given two lists.,294,Create a function that returns the elements found in both of the provided lists.,0.9127275347709656,1,1,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,63,Write a function to find the common elements in given nested lists.,0.9063167572021484,2,1,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,357,Develop a function that returns the elements shared by all nested lists.,0.8804305791854858,3,1,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,260,Write a function to find the dissimilar elements in the given two tuples.,0.8803261518478394,4,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,224,Write a function to find all possible combinations of the elements of a given list.,0.8746727705001831,5,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,475,Create a function that identifies the shared first element in a list of tuples.,0.873062014579773,6,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,488,Create a function that checks for any common element between two lists and returns true if found.,0.865446925163269,7,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,396,"Create a function that sums the elements of a list between two given indices, inclusive.",0.8647643327713013,8,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,129,Write a function to subtract two lists element-wise.,0.8646418452262878,9,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,194,Write a function that takes two lists and returns true if they have at least one common element.,0.8629049062728882,10,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,616,Find shared elements from four arrays.,0.8622141480445862,11,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,181,Write a function to find common first element in given list of tuple.,0.8615700006484985,12,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,423,Create a function that performs element-wise subtraction between two lists.,0.8614909052848816,13,0,,Create a function that finds the common elements between two provided lists.
0,Write a function to find the shared elements from the given two lists.,245,Write a function to find the union of the elements of two given tuples and output them in sorted order.,0.8612467050552368,14,0,,Create a function that finds the common elements between two provided lists.
