query_id,query_text,hit@10,precision@10,recall@10,mrr@10,ap@10,ndcg@10
0,Write a function to find the shared elements from the given two lists.,1.0,0.3,1.0,1.0,1.0,1.0
1,Write a python function to identify non-prime numbers.,1.0,0.3,1.0,1.0,1.0,1.0
2,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.",1.0,0.3,1.0,1.0,1.0,1.0
3,Write a python function to check whether the two numbers differ at one bit position only or not.,1.0,0.3,1.0,1.0,1.0,1.0
4,Write a function to find all words which are at least 4 characters long in a string.,1.0,0.3,1.0,1.0,1.0,1.0
5,Write a function to find squares of individual elements in a list.,1.0,0.3,1.0,1.0,1.0,1.0
6,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,1.0,0.3,1.0,1.0,1.0,1.0
7,Write a python function to remove first and last occurrence of a given character from the string.,1.0,0.3,1.0,1.0,1.0,1.0
8,Write a function to sort a given matrix in ascending order according to the sum of its rows.,1.0,0.3,1.0,1.0,1.0,1.0
9,Write a python function to find the volume of a triangular prism.,1.0,0.3,1.0,1.0,1.0,1.0
10,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,1.0,0.3,1.0,1.0,1.0,1.0
11,Write a function that returns the perimeter of a square given its side length as input.,1.0,0.3,1.0,1.0,1.0,1.0
12,Write a function to remove characters from the first string which are present in the second string.,1.0,0.3,1.0,1.0,1.0,1.0
13,Write a function to find whether a given array of integers contains any duplicate element.,1.0,0.3,1.0,1.0,1.0,1.0
14,Write a function to check if the given number is woodball or not.,1.0,0.3,1.0,1.0,1.0,1.0
15,Write a python function to check if a given number is one less than twice its reverse.,1.0,0.3,1.0,1.0,1.0,1.0
16,Write a python function to find the largest number that can be formed with the given list of digits.,1.0,0.3,1.0,1.0,1.0,1.0
17,Write a python function to check whether the given two integers have opposite sign or not.,1.0,0.3,1.0,1.0,1.0,1.0
18,Write a function to find the nth octagonal number.,1.0,0.3,1.0,1.0,1.0,1.0
19,Write a python function to count the number of substrings with the sum of digits equal to their length.,1.0,0.3,1.0,1.0,1.0,1.0
20,Write a python function to find smallest number in a list.,1.0,0.3,1.0,1.0,1.0,1.0
21,Write a function to find the maximum difference between available pairs in the given tuple list.,1.0,0.3,1.0,1.0,1.0,1.0
22,Write a function to sort a list of tuples using the second value of each tuple.,1.0,0.3,1.0,1.0,1.0,1.0
23,Write a function to flatten a list and sum all of its elements.,1.0,0.3,1.0,1.0,1.0,1.0
24,Write a python function to count the number of positive numbers in a list.,1.0,0.3,1.0,1.0,1.0,1.0
25,Write a function to find the number of ways to partition a set of Bell numbers.,1.0,0.3,1.0,1.0,1.0,1.0
26,Write a python function to check whether the given array is monotonic or not.,1.0,0.3,1.0,1.0,1.0,1.0
27,Write a function to check whether a list contains the given sublist or not.,1.0,0.3,1.0,1.0,1.0,1.0
28,Write a function to find whether all the given tuples have equal length or not.,1.0,0.3,1.0,1.0,1.0,1.0
29,Write a function to sort a list of elements.,1.0,0.3,1.0,1.0,1.0,1.0
30,Write a python function to check whether the given number can be represented as the difference of two squares or not.,1.0,0.3,1.0,1.0,1.0,1.0
31,Write a function to check whether it follows the sequence given in the patterns array.,1.0,0.3,1.0,1.0,1.0,1.0
32,Write a function to find tuples which have all elements divisible by k from the given list of tuples.,1.0,0.3,1.0,1.0,1.0,1.0
33,Write a python function to find whether a number is divisible by 11.,1.0,0.3,1.0,1.0,1.0,1.0
34,Write a python function to check whether the length of the word is odd or not.,1.0,0.3,1.0,1.0,1.0,1.0
35,Write a function to find the nth tetrahedral number.,1.0,0.3,1.0,1.0,1.0,1.0
36,Write a function to find the volume of a sphere.,1.0,0.3,1.0,1.0,1.0,1.0
37,Write a python function to find the character made by adding the ASCII value of all the characters of the given string modulo 26.,1.0,0.3,1.0,1.0,1.0,1.0
38,Write a function to find the nth number in the newman conway sequence.,1.0,0.3,1.0,1.0,1.0,1.0
39,Write a function to find the surface area of a sphere.,1.0,0.3,1.0,1.0,1.0,1.0
40,Write a function to find nth centered hexagonal number.,1.0,0.3,1.0,1.0,1.0,1.0
41,Write a function to merge three dictionaries into a single dictionary.,1.0,0.3,1.0,1.0,1.0,1.0
42,"Write a function to get the frequency of all the elements in a list, returned as a dictionary.",1.0,0.3,1.0,1.0,1.0,1.0
43,Write a function to find the closest smaller number than n.,1.0,0.3,1.0,1.0,1.0,1.0
44,Write a python function to find the length of the longest word.,1.0,0.3,1.0,1.0,1.0,1.0
45,Write a function to check if a string is present as a substring in a given list of string values.,1.0,0.3,1.0,1.0,1.0,1.0
46,Write a function to check whether the given number is undulating or not.,1.0,0.3,1.0,1.0,1.0,1.0
47,Write a function to calculate the value of 'a' to the power 'b'.,1.0,0.3,1.0,1.0,1.0,1.0
48,"Given a list of tuples, write a function that returns the first value of the tuple with the smallest second value.",1.0,0.3,1.0,1.0,1.0,1.0
49,Write a python function to find the length of the smallest list in a list of lists.,1.0,0.3,1.0,1.0,1.0,1.0
50,Write a python function to find the number of divisors of a given integer.,1.0,0.3,1.0,1.0,1.0,1.0
51,"Write a function to find frequency of each element in a flattened list of lists, returned in a dictionary.",1.0,0.3,1.0,1.0,1.0,1.0
52,Write a function to multiply all the numbers in a list and divide with the length of the list.,1.0,0.3,1.0,1.0,1.0,1.0
53,"Write a function to convert the given decimal number to its binary equivalent, represented as a string with no leading zeros.",1.0,0.3,1.0,1.0,1.0,1.0
54,"Write a function to find the next smallest palindrome of a specified integer, returned as an integer.",1.0,0.3,1.0,1.0,1.0,1.0
55,Write a function to find the kth element in the given array using 1-based indexing.,1.0,0.3,1.0,1.0,1.0,1.0
56,Write a function to convert a snake case string to camel case string.,1.0,0.3,1.0,1.0,1.0,1.0
57,"Write a function to find the Eulerian number a(n, m).",1.0,0.3,1.0,1.0,1.0,1.0
58,Write a function to sort each sublist of strings in a given list of lists.,1.0,0.3,1.0,1.0,1.0,1.0
59,Write a python function to count true booleans in the given list.,1.0,0.3,1.0,1.0,1.0,1.0
60,Write a function to append the given list to the given tuples.,1.0,0.3,1.0,1.0,1.0,1.0
61,Write a function to merge three lists into a single sorted list.,1.0,0.3,1.0,1.0,1.0,1.0
62,Write a python function to find the number of numbers with an odd value when rotating a binary string the given number of times.,1.0,0.3,1.0,1.0,1.0,1.0
63,Write a function to find the common elements in given nested lists.,1.0,0.3,1.0,1.0,1.0,1.0
64,Write a function to check if a string represents an integer or not.,1.0,0.3,1.0,1.0,1.0,1.0
65,Write a function to check whether all dictionaries in a list are empty or not.,1.0,0.3,1.0,1.0,1.0,1.0
66,Write a function to convert a given tuple of positive integers into a single integer.,1.0,0.3,1.0,1.0,1.0,1.0
67,Write a function to convert all possible convertible elements in a list of lists to floats.,1.0,0.3,1.0,1.0,1.0,1.0
68,Write a function to convert a string to a list of strings split on the space character.,1.0,0.3,1.0,1.0,1.0,1.0
69,Write a python function to find the element that appears only once in a sorted array.,1.0,0.3,1.0,1.0,1.0,1.0
70,Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.,1.0,0.3,1.0,1.0,1.0,1.0
71,Write a function to sum all amicable numbers from 1 to a specified number.,1.0,0.3,1.0,1.0,1.0,1.0
72,Write a function to get the angle of a complex number.,1.0,0.3,1.0,1.0,1.0,1.0
73,Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,1.0,0.3,1.0,1.0,1.0,1.0
74,Write a python function to find the sum of common divisors of two given numbers.,1.0,0.3,1.0,1.0,1.0,1.0
75,Write a function to multiply two integers.,1.0,0.3,1.0,1.0,1.0,1.0
