query_id,query_text,hit@10,precision@10,recall@10,mrr@10,ap@10,ndcg@10
3,Write a python function to check whether the two numbers differ at one bit position only or not.,1.0,1.0,0.5,1.0,0.5,1.0
13,Write a function to find whether a given array of integers contains any duplicate element.,1.0,1.0,0.5,1.0,0.5,1.0
17,Write a python function to check whether the given two integers have opposite sign or not.,1.0,1.0,0.5,1.0,0.5,1.0
20,Write a python function to find smallest number in a list.,1.0,1.0,0.5,1.0,0.5,1.0
21,Write a function to find the maximum difference between available pairs in the given tuple list.,1.0,1.0,0.5,1.0,0.5,1.0
29,Write a function to sort a list of elements.,1.0,1.0,0.5,1.0,0.5,1.0
32,Write a function to find tuples which have all elements divisible by k from the given list of tuples.,1.0,1.0,0.5,1.0,0.5,1.0
33,Write a python function to find whether a number is divisible by 11.,1.0,1.0,0.5,1.0,0.5,1.0
37,Write a python function to find the character made by adding the ASCII value of all the characters of the given string modulo 26.,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,1.0
38,Write a function to find the nth number in the newman conway sequence.,1.0,1.0,0.5,1.0,0.5,1.0
41,Write a function to merge three dictionaries into a single dictionary.,1.0,1.0,0.5,1.0,0.5,1.0
42,"Write a function to get the frequency of all the elements in a list, returned as a dictionary.",1.0,1.0,0.5,1.0,0.5,1.0
44,Write a python function to find the length of the longest word.,1.0,1.0,0.5,1.0,0.5,1.0
50,Write a python function to find the number of divisors of a given integer.,1.0,1.0,0.5,1.0,0.5,1.0
51,"Write a function to find frequency of each element in a flattened list of lists, returned in a dictionary.",1.0,1.0,0.5,1.0,0.5,1.0
54,"Write a function to find the next smallest palindrome of a specified integer, returned as an integer.",1.0,1.0,0.5,1.0,0.5,1.0
55,Write a function to find the kth element in the given array using 1-based indexing.,1.0,1.0,0.5,1.0,0.5,1.0
57,"Write a function to find the Eulerian number a(n, m).",1.0,1.0,0.5263157894736842,1.0,0.5263157894736842,1.0
63,Write a function to find the common elements in given nested lists.,1.0,1.0,0.5,1.0,0.5,1.0
64,Write a function to check if a string represents an integer or not.,1.0,1.0,0.5,1.0,0.5,1.0
65,Write a function to check whether all dictionaries in a list are empty or not.,1.0,1.0,0.5,1.0,0.5,1.0
74,Write a python function to find the sum of common divisors of two given numbers.,1.0,1.0,0.5,1.0,0.5,1.0
75,Write a function to multiply two integers.,1.0,1.0,0.5,1.0,0.5,1.0
76,Write a function to find words that are longer than n characters from a given list of words.,1.0,1.0,0.5,1.0,0.5,1.0
