query_id,query_text,doc_id,doc_text,rel,label_source
0,Write a function to find the shared elements from the given two lists.,294,Create a function that returns the elements found in both of the provided lists.,1,weak_auto_from_relevant_indices
0,Write a function to find the shared elements from the given two lists.,63,Write a function to find the common elements in given nested lists.,1,weak_auto_from_relevant_indices
0,Write a function to find the shared elements from the given two lists.,357,Develop a function that returns the elements shared by all nested lists.,1,weak_auto_from_relevant_indices
1,Write a python function to identify non-prime numbers.,295,Develop a Python function that checks if a number is not a prime.,1,weak_auto_from_relevant_indices
1,Write a python function to identify non-prime numbers.,238,Write a python function to find the first digit of a given number.,1,weak_auto_from_relevant_indices
1,Write a python function to identify non-prime numbers.,169,Write a python function to find the minimum of two numbers.,1,weak_auto_from_relevant_indices
2,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.",296,"Implement a function that returns the n biggest numbers from a list, sorted from highest to lowest.",1,weak_auto_from_relevant_indices
2,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.",337,Develop a function that returns the largest integer less than a given number n.,1,weak_auto_from_relevant_indices
2,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.",16,Write a python function to find the largest number that can be formed with the given list of digits.,1,weak_auto_from_relevant_indices
3,Write a python function to check whether the two numbers differ at one bit position only or not.,297,Create a Python function to determine if two numbers differ by exactly one bit position.,1,weak_auto_from_relevant_indices
3,Write a python function to check whether the two numbers differ at one bit position only or not.,30,Write a python function to check whether the given number can be represented as the difference of two squares or not.,1,weak_auto_from_relevant_indices
3,Write a python function to check whether the two numbers differ at one bit position only or not.,324,Create a Python function to determine if a number can be written as the difference of two squares.,1,weak_auto_from_relevant_indices
4,Write a function to find all words which are at least 4 characters long in a string.,298,Write a function that extracts all words with a minimum length of four characters from a string.,1,weak_auto_from_relevant_indices
4,Write a function to find all words which are at least 4 characters long in a string.,76,Write a function to find words that are longer than n characters from a given list of words.,1,weak_auto_from_relevant_indices
4,Write a function to find all words which are at least 4 characters long in a string.,370,Create a function that returns all words longer than n characters from a string.,1,weak_auto_from_relevant_indices
5,Write a function to find squares of individual elements in a list.,210,Write a function to find cubes of individual elements in a list.,1,weak_auto_from_relevant_indices
5,Write a function to find squares of individual elements in a list.,299,Create a function that computes the square of each element in a list.,1,weak_auto_from_relevant_indices
5,Write a function to find squares of individual elements in a list.,504,Create a function that computes the cube of each element in a list.,1,weak_auto_from_relevant_indices
6,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,300,Develop a Python function to determine the smallest number of rotations needed to return a string to its original form.,1,weak_auto_from_relevant_indices
6,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,146,Write a python function to find element at a given index after number of rotations.,1,weak_auto_from_relevant_indices
6,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,169,Write a python function to find the minimum of two numbers.,1,weak_auto_from_relevant_indices
7,Write a python function to remove first and last occurrence of a given character from the string.,301,Create a Python function that deletes the first and last appearance of a specified character in a string.,1,weak_auto_from_relevant_indices
7,Write a python function to remove first and last occurrence of a given character from the string.,282,Write a python function to find the first repeated character in a given string.,1,weak_auto_from_relevant_indices
7,Write a python function to remove first and last occurrence of a given character from the string.,12,Write a function to remove characters from the first string which are present in the second string.,1,weak_auto_from_relevant_indices
8,Write a function to sort a given matrix in ascending order according to the sum of its rows.,302,Implement a function that sorts a matrix by the sum of each row in ascending order.,1,weak_auto_from_relevant_indices
8,Write a function to sort a given matrix in ascending order according to the sum of its rows.,380,Implement a function that sorts the elements of a list in ascending order.,1,weak_auto_from_relevant_indices
8,Write a function to sort a given matrix in ascending order according to the sum of its rows.,323,Implement a function that sorts the elements of a list in ascending order.,1,weak_auto_from_relevant_indices
