query_id,query_text,query_text_paraphrase
0,Write a function to find the shared elements from the given two lists.,Create a function that finds the common elements between two provided lists.
1,Write a python function to identify non-prime numbers.,Create a Python function that determines which numbers are not prime.
2,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","Create a function that returns the n largest integers from a given list, sorted in descending order."
3,Write a python function to check whether the two numbers differ at one bit position only or not.,Create a Python function to determine if two numbers differ by exactly one bit.
4,Write a function to find all words which are at least 4 characters long in a string.,Create a function that extracts all words from a string that have at least 4 characters.
5,Write a function to find squares of individual elements in a list.,Create a function that computes the square of each element in a list.
6,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,Create a Python function that calculates the minimum number of rotations (greater than zero) needed to obtain the same string.
7,Write a python function to remove first and last occurrence of a given character from the string.,Create a Python function that removes the first and last occurrence of a specified character from a string.
8,Write a function to sort a given matrix in ascending order according to the sum of its rows.,Create a function that sorts a given matrix in ascending order based on the sum of each row.
9,Write a python function to find the volume of a triangular prism.,Create a Python function that calculates the volume of a triangular prism.
10,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"Create a function that returns true if the input string consists of sequences of lowercase letters separated by underscores, and false otherwise."
11,Write a function that returns the perimeter of a square given its side length as input.,Create a function that returns the perimeter of a square when given its side length as input.
12,Write a function to remove characters from the first string which are present in the second string.,Create a function that removes characters from the first string if they appear in the second string.
13,Write a function to find whether a given array of integers contains any duplicate element.,Implement a function to check if an integer array contains any duplicates.
14,Write a function to check if the given number is woodball or not.,Create a function that checks whether a given number is a woodball number or not.
15,Write a python function to check if a given number is one less than twice its reverse.,Create a Python function that checks if a given number is one less than twice its reverse.
16,Write a python function to find the largest number that can be formed with the given list of digits.,Create a Python function that finds the largest number that can be formed from a given list of digits.
17,Write a python function to check whether the given two integers have opposite sign or not.,Write a Python function to verify if two integers have opposite signs.
18,Write a function to find the nth octagonal number.,Create a function that calculates the nth octagonal number.
19,Write a python function to count the number of substrings with the sum of digits equal to their length.,Create a Python function that counts how many substrings have a sum of digits equal to their length.
20,Write a python function to find smallest number in a list.,Develop a Python function to identify the smallest number in a list.
21,Write a function to find the maximum difference between available pairs in the given tuple list.,Write a function to calculate the maximum difference between pairs in a list of tuples.
22,Write a function to sort a list of tuples using the second value of each tuple.,Implement a function that sorts a list of tuples based on the second element of each tuple.
23,Write a function to flatten a list and sum all of its elements.,Implement a function that flattens a list and returns the sum of its elements.
24,Write a python function to count the number of positive numbers in a list.,Implement a Python function that counts how many positive numbers are in a list.
25,Write a function to find the number of ways to partition a set of Bell numbers.,Implement a function that calculates the number of ways to partition a set corresponding to Bell numbers.
26,Write a python function to check whether the given array is monotonic or not.,Implement a Python function that determines if the provided array is monotonic.
27,Write a function to check whether a list contains the given sublist or not.,Implement a function that determines if a list includes a specified sublist.
28,Write a function to find whether all the given tuples have equal length or not.,Write a function that checks if all provided tuples are of the same length.
29,Write a function to sort a list of elements.,Create a function to sort a list of elements in order.
30,Write a python function to check whether the given number can be represented as the difference of two squares or not.,Create a function to check whether the given number can be represented as the difference of two squares or not..
31,Write a function to check whether it follows the sequence given in the patterns array.,Create a function to check whether it follows the sequence given in the patterns array..
32,Write a function to find tuples which have all elements divisible by k from the given list of tuples.,Implement a function to extract tuples from a list where all elements are divisible by k.
33,Write a python function to find whether a number is divisible by 11.,Write a Python function to check if a number is divisible by 11.
34,Write a python function to check whether the length of the word is odd or not.,Create a function to check whether the length of the word is odd or not..
35,Write a function to find the nth tetrahedral number.,Create a function to find the nth tetrahedral number..
36,Write a function to find the volume of a sphere.,Create a function to find the volume of a sphere..
37,Write a python function to find the character made by adding the ASCII value of all the characters of the given string modulo 26.,"Create a Python function that sums ASCII values of a string's characters, takes modulo 26, and returns the corresponding character."
38,Write a function to find the nth number in the newman conway sequence.,Write a function to find the nth term in the Newman-Conway sequence.
39,Write a function to find the surface area of a sphere.,Create a function to find the surface area of a sphere..
40,Write a function to find nth centered hexagonal number.,Create a function to find nth centered hexagonal number..
41,Write a function to merge three dictionaries into a single dictionary.,Develop a function to merge three dictionaries into one.
42,"Write a function to get the frequency of all the elements in a list, returned as a dictionary.",Create a function that returns a dictionary with the frequency of each element in a list.
44,Write a python function to find the length of the longest word.,Write a Python function to find the length of the longest word in a list.
50,Write a python function to find the number of divisors of a given integer.,Implement a Python function to count the number of divisors of an integer.
51,"Write a function to find frequency of each element in a flattened list of lists, returned in a dictionary.","Write a function to compute the frequency of elements in a flattened list of lists, returning a dictionary."
54,"Write a function to find the next smallest palindrome of a specified integer, returned as an integer.","Create a function to find the next smallest palindrome greater than a given integer, returning it as an integer."
55,Write a function to find the kth element in the given array using 1-based indexing.,Write a function to retrieve the kth element from an array using 1-based indexing.
57,"Write a function to find the Eulerian number a(n, m).","Implement a function to compute the Eulerian number a(n, m)."
63,Write a function to find the common elements in given nested lists.,Write a function to find common elements across multiple nested lists.
64,Write a function to check if a string represents an integer or not.,Create a function to check if a string can be interpreted as an integer.
65,Write a function to check whether all dictionaries in a list are empty or not.,Create a function to verify if every dictionary in a list is empty.
74,Write a python function to find the sum of common divisors of two given numbers.,Implement a Python function to calculate the sum of common divisors of two numbers.
75,Write a function to multiply two integers.,Define a function that multiplies two integers.
76,Write a function to find words that are longer than n characters from a given list of words.,Write a function to extract words longer than n characters from a list.
78,Write a function to find the item with maximum frequency in a given list.,Create a function to identify the most frequent item in a list.
82,Write a function to find the nth hexagonal number.,Implement a function to compute the nth hexagonal number.
83,Write a function to find the ratio of zeroes to non-zeroes in an array of integers.,Write a function to calculate the ratio of zeros to non-zero integers in an array.
88,Write a python function to check whether all the bits are unset in the given range or not.,Define a Python function to check if all bits are unset within a specified range.
93,Write a python function to find the maximum difference between any two elements in a given array.,Create a Python function to find the largest difference between any two elements in an array.
94,"Write a function that returns integers x and y that satisfy ax + by = n as a tuple, or return None if no solution exists.","Write a function returning integers x and y as a tuple satisfying ax + by = n, or None if no solution exists."
95,Write a function to remove all elements from a given list present in another list.,Implement a function to remove all elements from one list that appear in another list.
98,Write a function to determine if the sum of the divisors of two integers are the same.,Write a function to check if two integers have equal sums of their divisors.
100,Write a function that counts the number of pairs of integers in a list that xor to an even number.,Create a function that counts pairs of integers in a list whose XOR results in an even number.
102,Write a function to find the sum of numbers in a list within a range specified by two indices.,Define a function to sum elements in a list between two given indices.
105,Write a function to check if all the elements in tuple have same data type or not.,Write a function to determine if all elements in a tuple share the same data type.
106,"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)","Implement a function that, given a sorted array, its length n, and an element, checks if the element occurs more than n/2 times."
115,Write a function to find the lateral surface area of a cube given its side length.,Create a function to calculate the lateral surface area of a cube from its side length.
123,Write a function that takes in the radius and height of a cylinder and returns the the volume.,Write a function that returns the volume of a cylinder given its radius and height.
126,Write a function to find the nth decagonal number.,Define a function to find the nth decagonal number.
130,Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.,Implement a Python function that checks if each digit's frequency in an integer is less than or equal to the digit itself.
135,Write a function to find the list of maximum length in a list of lists.,Create a function that returns the longest list within a list of lists.
148,"Write a function to find the maximum sum of increasing subsequence from prefix until ith index and also including a given kth element which is after i, i.e., k > i .","Create a function to find the maximum sum of an increasing subsequence from the start up to index i, including a specified element at index k where k > i."
150,"Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.",Create a function to find the top specified number of largest products formed by pairing one element from each of two lists.
152,Write a function to convert a given string to a tuple of characters.,Create a function to transform a string into a tuple of its characters.
159,Write a function to convert more than one list to nested dictionary.,Create a function to convert multiple lists into a nested dictionary structure.
162,Write a python function to find the first non-repeated character in a given string.,Create a Python function to identify the first character in a string that does not repeat.
164,Write a function to find the median of three numbers.,Create a function to determine the median value among three numbers.
168,Write a function to perform index wise addition of tuple elements in the given two nested tuples.,Create a function to add corresponding elements of two nested tuples index-wise.
172,Write a function to create the next bigger number by rearranging the digits of a given number.,Create a function to generate the next greater number by rearranging the digits of a given number.
176,Write a function to convert the given snake case string to camel case string.,Create a function to convert a snake_case string into camelCase format.
181,Write a function to find common first element in given list of tuple.,Create a function to find the common first element among a list of tuples.
184,Write a python function to find the cube sum of first n even natural numbers.,Create a Python function to calculate the sum of cubes of the first n even natural numbers.
185,Write a function to concatenate each element of tuple by the delimiter.,Create a function to join each tuple element into a string separated by a delimiter.
187,Write a function to extract only the rear index element of each string in the given tuple.,Create a function to extract the last character from each string in a given tuple.
189,Write a function to filter odd numbers.,Create a function to filter out odd numbers from a collection.
191,Write a function to sort the given array by using shell sort.,Create a function to sort an array using the shell sort algorithm.
192,Write a function to extract the elementwise and tuples from the given two tuples.,Create a function to extract element-wise tuples from two given tuples.
198,Write a python function to find the last digit of a given number.,Create a Python function to find the last digit of a given number.
200,Write a function to remove odd characters in a string.,Create a function to remove characters at odd indices from a string.
203,Write a function to find the first adverb and their positions in a given sentence.,Create a function to locate the first adverb and its position in a given sentence.
204,Write a function to find the surface area of a cube of a given size.,Create a function to calculate the surface area of a cube given its side length.
208,Write a function to perform index wise multiplication of tuple elements in the given two tuples.,Create a function that multiplies elements at corresponding positions from two tuples.
213,Write a function to remove all whitespaces from the given string.,Create a function to eliminate all whitespace characters from a string.
215,Write a python function to find the sum of even factors of a number.,Create a Python function to sum all even factors of a given number.
224,Write a function to find all possible combinations of the elements of a given list.,Create a function to generate every possible combination of elements from a list.
226,Write a function to check whether the given dictionary is empty,Create a function to determine if a given dictionary contains no items.
227,Write a function to drop empty items from a given dictionary.,Create a function to remove all empty entries from a dictionary.
230,Write a python function to find the product of the array multiplication modulo n.,Create a Python function to compute the product of array elements modulo n.
233,Write a function to replace characters in a string.,Create a function to substitute specified characters within a string.
235,Write a python function to find the sum of the largest and smallest value in a given array.,Create a Python function to sum the smallest and largest values in an array.
236,Write a python function to convert the given string to lower case.,Create a Python function to convert a string entirely to lowercase.
241,Write a python function to count the number of pairs whose xor value is odd.,Create a Python function to count pairs whose XOR result is an odd number.
242,Write a function to toggle the case of all characters in a string.,Create a function to invert the case of each character in a string.
243,Write a python function to find the sum of the per-digit difference between two integers.,Create a Python function to sum the absolute differences of each digit between two integers.
249,Write a python function to split a string into characters.,Create a Python function to split a string into its individual characters.
250,Write a function to get the sum of the digits of a non-negative integer.,Create a function to compute the sum of digits of a non-negative integer.
251,Write a function to check whether a specified list is sorted or not.,Create a function to verify if a given list is sorted in order.
